year,county,agency_name,agency_code,violent_crimes,property_crimes,violent_clearance_rate,property_clearance_rate,arrests_total,arrests_felony,arrests_misdemeanor,arrests_status_offense,dic_total_deaths,dic_arrest_related,dic_city_county_jails,leoka_total_deaths,leoka_felony_deaths,leoka_accidental_deaths,leoka_total_assaults,leoka_injury_assaults,leoka_no_injury_assaults,calls_for_service,contracting_agencies,population_served,hispanic_population,white_population,black_population,native_american_population,asian_pacific_islander_population,other_population,hispanic_proportion,white_proportion,black_proportion,native_american_proportion,asian_pacific_islander_proportion,other_proportion,arrests_total_rate_per_100000,arrests_felony_rate_per_100000,arrests_misdemeanor_rate_per_100000,arrests_status_offense_rate_per_100000,violent_crimes_rate_per_100000,property_crimes_rate_per_100000,dic_total_deaths_rate_per_100000,dic_arrest_related_rate_per_100000,dic_city_county_jails_rate_per_100000,leoka_total_deaths_rate_per_100000,leoka_felony_deaths_rate_per_100000,leoka_accidental_deaths_rate_per_100000,leoka_total_assaults_rate_per_100000,leoka_injury_assaults_rate_per_100000,leoka_no_injury_assaults_rate_per_100000
2005,Alameda,All Combined,All Combined,9749,63034,27.73,9.19,57366,19765,37119,482,12,0,12,1,1,0,236,96,140,,,1462736,311563,542675,184305,4388,367147,51196,0.21,0.37,0.12,0,0.25,0.03,3921.828682687790,1351.234946018970,2537.6417890856600,32.95194758315920,666.4907406394590,4309.321709454060,0.8203804377550020,0,0.8203804377550020,0.06836503647958350,0.06836503647958350,0,16.134148609181700,6.563043502040010,9.571105107141690
2006,Alameda,All Combined,All Combined,12419,65868,29.8,8.46,54830,18613,35786,431,15,7,8,1,0,1,230,84,146,,,1462371,311485,542540,184259,4387,367055,51183,0.21,0.37,0.12,0,0.25,0.03,3749.390544533500,1272.7960278205700,2447.1218316008700,29.47268511205430,849.2373002473380,4504.192164642210,1.0257315004195200,0.47867470019577800,0.5470568002237460,0.06838210002796830,0,0.06838210002796830,15.727883006432700,5.744096402349340,9.983786604083370
2007,Alameda,All Combined,All Combined,12536,62731,27.6,8.74,57483,19295,37648,540,15,6,9,1,0,1,239,76,163,,,1470622,313242,545601,185298,4412,369126,51472,0.21,0.37,0.12,0,0.25,0.03,3908.754255002300,1312.0298757940500,2560.0052222801000,36.71915692815690,852.4284282432870,4265.610061592990,1.0199765813376900,0.407990632535077,0.6119859488026150,0.06799843875584620,0,0.06799843875584620,16.251626862647200,5.167881345444310,11.083745517202900
2008,Alameda,All Combined,All Combined,12778,59435,31.36,8.84,57800,19223,38122,455,19,7,12,0,0,0,225,105,120,,,1484085,316110,550596,186995,4452,372505,51943,0.21,0.37,0.12,0,0.25,0.03,3894.6556295630000,1295.2762139634900,2568.7207942941300,30.658621305383500,861.0018967916260,4004.8245215065200,1.2802501204445800,0.47167109700589900,0.8085790234386840,0,0,0,15.160856689475300,7.075066455088490,8.085790234386850
2009,Alameda,All Combined,All Combined,11189,56348,31.9,8.25,56147,18469,37247,431,7,4,3,4,4,0,151,55,96,,,1497799,319031,555683,188723,4493,375948,52423,0.21,0.37,0.12,0,0.25,0.03,3748.633828704650,1233.0760001842700,2486.7822718535700,28.775556666815800,747.0294745823710,3762.053519864810,0.4673524284633650,0.26705853055049400,0.2002938979128710,0.26705853055049400,0.26705853055049400,0,10.081459528281200,3.6720547950693000,6.409404733211870
2010,Alameda,All Combined,All Combined,10468,50323,32.69,9.37,52609,17094,35027,488,13,4,9,0,0,0,172,56,116,,,1509240,341088,502577,173563,4528,419569,66407,0.22,0.33,0.11,0,0.27,0.04,3485.79417455143,1132.623042060900,2320.8369775516200,32.33415493890960,693.5941268453000,3334.3272110466200,0.861360684848003,0.2650340568763090,0.5963266279716940,0,0,0,11.39646444568130,3.7104767962683200,7.68598764941295
2011,Alameda,All Combined,All Combined,10785,52659,29.42,8.49,45596,14272,30915,409,10,7,3,0,0,0,183,63,120,,,1517756,343013,505413,174542,4553,421936,66781,0.22,0.33,0.11,0,0.27,0.04,3004.1719485872600,940.3356007157940,2036.8886698520700,26.947678019391800,710.5885267460650,3469.530016682520,0.658867433236963,0.4612072032658740,0.1976602299710890,0,0,0,12.057274028236400,4.150864829392870,7.906409198843560
2012,Alameda,All Combined,All Combined,11899,62130,24.75,6.84,42939,13161,29555,223,9,3,6,0,0,0,179,73,106,,,1532253,346289,510240,176209,4597,425966,67419,0.22,0.33,0.11,0,0.27,0.04,2802.343999326480,858.9312600464810,1928.85900696556,14.553732314441500,776.5688825539910,4054.8134022253500,0.5873703624662510,0.19579012082208400,0.3915802416441670,0,0,0,11.682143875717700,4.764226273337370,6.917917602380290
2013,Alameda,All Combined,All Combined,11739,60133,25.18,7.1,40992,13593,27146,253,16,8,8,0,0,0,188,75,113,,,1555241,351484,517895,178853,4666,432357,68431,0.22,0.33,0.11,0,0.27,0.04,2635.732982862460,874.012452089419,1745.4529555226500,16.267575250395300,754.8026318750600,3866.4747135652900,1.0287794624755900,0.5143897312377950,0.5143897312377950,0,0,0,12.088158684088200,4.822403730354330,7.265754953733860
2014,Alameda,All Combined,All Combined,10356,57620,29.73,7.42,44276,14539,29556,181,21,11,10,1,0,1,219,65,154,,,1574497,355836,524308,181067,4723,437710,69278,0.22,0.33,0.11,0,0.27,0.04,2812.0726809895500,923.4060147462970,1877.1709314149200,11.4957348283293,657.733866752366,3659.581440930020,1.3337592894746700,0.6986358182962560,0.6351234711784140,0.06351234711784140,0,0.06351234711784140,13.909204018807300,4.128302562659690,9.780901456147580
