County,Class Of,Cohort Students,Cohort Graduates,CohortGraduation Rate,Cohort Dropouts,Cohort DropoutRate,Cohort SpecialEd Completers,Cohort Special EdCompleters Rate,Cohort StillEnrolled,Cohort StillEnrolled Rate,Cohort GEDCompleter,Cohort GEDCompleter Rate
Alameda,2010,17789,13477,75.8,3047,17.1,72,0.4,1170,6.6,23,0.1
Alameda,2011,16991,13253,78,2567,15.1,86,0.5,1044,6.1,41,0.2
Alameda,2012,17113,13654,79.8,2250,13.1,111,0.6,1071,6.3,27,0.2
Alameda,2013,17259,13941,80.8,1924,11.1,70,0.4,1283,7.4,41,0.2
Alameda,2014,16616,13771,82.9,1761,10.6,102,0.6,959,5.8,23,0.1
Alameda,2015,16752,14232,85,1614,9.6,74,0.4,825,4.9,7,0
Alpine,2010,3,1,33.3,1,33.3,0,0,0,0,1,33.3
Alpine,2011,2,1,50,1,50,0,0,0,0,0,0
Alpine,2012,4,0,0,3,75,1,25,0,0,0,0
Alpine,2013,3,2,66.7,0,0,0,0,1,33.3,0,0
Alpine,2014,3,1,33.3,1,33.3,0,0,1,33.3,0,0
Alpine,2015,2,1,50,1,50,0,0,0,0,0,0
Amador,2010,430,375,87.2,34,7.9,0,0,20,4.7,1,0.2
Amador,2011,425,363,85.4,48,11.3,0,0,13,3.1,1,0.2
Amador,2012,358,318,88.8,27,7.5,0,0,12,3.4,1,0.3
Amador,2012,358,318,88.8,27,7.5,0,0,12,3.4,1,0.3
Amador,2013,359,300,83.6,44,12.3,0,0,15,4.2,0,0
Amador,2013,359,300,83.6,44,12.3,0,0,15,4.2,0,0
Amador,2014,357,313,87.7,36,10.1,1,0.3,5,1.4,2,0.6
Amador,2015,325,288,88.6,31,9.5,1,0.3,5,1.5,0,0
Butte,2010,2757,2220,80.5,395,14.3,5,0.2,118,4.3,19,0.7
Butte,2011,2627,2225,84.7,291,11.1,13,0.5,81,3.1,17,0.6
Butte,2012,2538,2157,85,278,11,13,0.5,77,3,13,0.5
Butte,2013,2649,2257,85.2,245,9.2,19,0.7,109,4.1,19,0.7
Butte,2014,2601,2230,85.7,253,9.7,16,0.6,98,3.8,4,0.2
Butte,2015,2408,2079,86.3,216,9,20,0.8,88,3.7,5,0.2
Calaveras,2010,624,551,88.3,42,6.7,10,1.6,21,3.4,0,0
Calaveras,2011,562,506,90,35,6.2,3,0.5,18,3.2,0,0
Calaveras,2012,590,534,90.5,29,4.9,5,0.8,22,3.7,0,0
Calaveras,2013,574,512,89.2,31,5.4,9,1.6,21,3.7,1,0.2
Calaveras,2014,534,481,90.1,29,5.4,11,2.1,13,2.4,0,0
Calaveras,2015,550,516,93.8,20,3.6,4,0.7,10,1.8,0,0
Colusa,2010,383,270,70.5,79,20.6,5,1.3,23,6,6,1.6
Colusa,2011,374,287,76.7,62,16.6,3,0.8,21,5.6,1,0.3
Colusa,2012,342,279,81.6,45,13.2,2,0.6,15,4.4,1,0.3
Colusa,2013,332,273,82.2,41,12.3,1,0.3,17,5.1,0,0
Colusa,2014,310,244,78.7,53,17.1,2,0.6,11,3.5,0,0
Colusa,2015,315,288,91.4,20,6.3,2,0.6,5,1.6,0,0
Contra Costa,2010,13192,10534,79.9,1826,13.8,57,0.4,704,5.3,71,0.5
Contra Costa,2011,13153,10925,83.1,1390,10.6,104,0.8,682,5.2,52,0.4
Contra Costa,2012,13203,11075,83.9,1330,10.1,130,1,607,4.6,61,0.5
Contra Costa,2013,13176,11319,85.9,1086,8.2,117,0.9,612,4.6,42,0.3
Contra Costa,2014,13208,11381,86.2,1060,8,100,0.8,630,4.8,37,0.3
Contra Costa,2015,13205,11786,89.3,769,5.8,128,1,513,3.9,9,0.1
Del Norte,2010,396,279,70.5,70,17.7,2,0.5,43,10.9,2,0.5
Del Norte,2011,428,318,74.3,60,14,4,0.9,46,10.7,0,0
Del Norte,2012,374,303,81,34,9.1,0,0,37,9.9,0,0
Del Norte,2013,340,260,76.5,37,10.9,5,1.5,38,11.2,0,0
Del Norte,2014,369,290,78.6,42,11.4,4,1.1,33,8.9,0,0
Del Norte,2015,404,142,35.2,73,18.1,0,0,189,46.8,0,0
El Dorado,2010,2558,2165,84.6,256,10,17,0.7,77,3,43,1.7
El Dorado,2011,2346,2038,86.9,184,7.8,14,0.6,67,2.9,43,1.8
El Dorado,2012,2496,2244,89.9,138,5.5,15,0.6,71,2.8,28,1.1
El Dorado,2013,2353,2098,89.2,148,6.3,17,0.7,68,2.9,22,0.9
El Dorado,2014,2379,2112,88.8,141,5.9,26,1.1,88,3.7,12,0.5
El Dorado,2015,2262,2075,91.7,112,5,12,0.5,61,2.7,2,0.1
Fresno,2010,15256,10540,69.1,3276,21.5,135,0.9,1276,8.4,29,0.2
Fresno,2011,14908,11048,74.1,2578,17.3,155,1,1099,7.4,28,0.2
Fresno,2012,14591,11093,76,2222,15.2,141,1,1087,7.4,48,0.3
Fresno,2013,14474,11193,77.3,2081,14.4,148,1,1020,7,32,0.2
Fresno,2014,14425,11372,78.8,1920,13.3,167,1.2,942,6.5,24,0.2
Fresno,2015,14227,11650,81.9,1631,11.5,148,1,788,5.5,10,0.1
Glenn,2010,467,373,79.9,67,14.3,0,0,27,5.8,0,0
Glenn,2011,425,344,80.9,62,14.6,3,0.7,16,3.8,0,0
Glenn,2012,440,358,81.4,58,13.2,0,0,23,5.2,1,0.2
